File,Path,Matched String,String inside,Type
base_transformer.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/notification/transformers,"FourKitesCommon::Logger.error(self, ""Error converting time_stamp"", error: e.message, backtrace: e.backtrace[0..5].join(""\n""))
","self, ""Error converting time_stamp"", error: e.message, backtrace: e.backtrace[0..5].join(""\n"")",error
base_transformer.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/notification/transformers,"FourKitesCommon::Logger.error(self, ""Error while fetching customers for load #{load[:id]} for #{message_type}"", error: e.message)
","self, ""Error while fetching customers for load #{load[:id]} for #{message_type}"", error: e.message",error
sibling_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.info(self, ""Message SIBLING_LOADS_GROUPING queued in worker queue: #{sibling_group_messages}"")
","self, ""Message SIBLING_LOADS_GROUPING queued in worker queue: #{sibling_group_messages}""",info
sibling_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Error queuing sibling loads grouping message #{sibling_group_messages}"", error: e.message)
","self, ""Error queuing sibling loads grouping message #{sibling_group_messages}"", error: e.message",error
sibling_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.warn(self, ""Company not found: #{company}"", error: e.message)
","self, ""Company not found: #{company}"", error: e.message",warn
sibling_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Error occurred while fetching sibling configuration from CS"")
","self, ""Error occurred while fetching sibling configuration from CS""",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Unable to fetch address #{address_ids} from geo service"", error: e.message)
","self, ""Unable to fetch address #{address_ids} from geo service"", error: e.message",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""[show_weights_and_rates?] Error while fetching relationship between shipper and carrier"", e.message)
","self, ""[show_weights_and_rates?] Error while fetching relationship between shipper and carrier"", e.message",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.info(self, ""Message #{message_type} queued in worker queue: #{message_id}"")
","self, ""Message #{message_type} queued in worker queue: #{message_id}""",info
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Error queueing message #{message} to worker queue"", error: e.message)
","self, ""Error queueing message #{message} to worker queue"", error: e.message",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Partial error occurred while updating shared_with in #{table_name}"")
","self, ""Partial error occurred while updating shared_with in #{table_name}""",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Trackings_ES_SYNC_FAILED:#{item['status']} ID:#{item['_id']}, #{item['result']}, #{item['error']}"")
","self, ""Trackings_ES_SYNC_FAILED:#{item['status']} ID:#{item['_id']}, #{item['result']}, #{item['error']}""",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Error in uploading Trackings data to ES"", error: e.message)
","self, ""Error in uploading Trackings data to ES"", error: e.message",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.info(self, ""#{messages.size} messages queued in worker queue for CONSIGNMENT_GROUPING"")
","self, ""#{messages.size} messages queued in worker queue for CONSIGNMENT_GROUPING""",info
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.error(self, ""Error queueing messages #{messages} to worker queue"", error: e.message)
","self, ""Error queueing messages #{messages} to worker queue"", error: e.message",error
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.debug(self, ""Sending message to KAFKA"", topic: topic, messages: params, options: options)
","self, ""Sending message to KAFKA"", topic: topic, messages: params, options: options",debug
tracking_util.rb,/Users/rohit.rathore/Desktop/Log Script/target/tracking-service/app/utils,"FourKitesCommon::Logger.debug(self, ""Pushed message to KAFKA"")
","self, ""Pushed message to KAFKA""",debug
